Micrograph # ,,Scan Date,,Sample #,,Condition,,Tendon Origin,,Animal ID,,Avg. YM (Mpa),Avg. Width (nm),Avg. Height (nm)
6 (.251),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,2.851,115.9788585,52.67
7 (.273),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,2.081,205.8841575,80.59
8 (.314),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,2.281,211.5900249,85.65
9 (. 400),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,4.66,166.4085544,67.87
10 (.424),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,4.91,183.2950226,94.5
11 (.449),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,4.47,156.1013916,57.5
12 (.470),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,3.029,128.953716,47.35
13 (.557),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,2.118,183.1032903,95.6
14 (.578),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,3.253,239.4368021,92.73
15 (.645),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,3.267,217.2184165,114.6
16 (.649),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,3.04,131.1319294,52.49
17 (.774),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,3.572,113.9540101,42.23
19 (.980),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,2.924,101.412956,38.57
20 (.994),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,4.11,154.0830748,82.08
